시도,구시,동,단지,거래수,제곱미터당,금액중간,면적중간,건축년도,최근연
경기,평택시,팽성읍 송화리,영동,13,1569752,80000000,55.1,1991,2026
경기,평택시,팽성읍 송화리,현대홈타운,22,2364817,201000000,85.0,2005,2026
경기,평택시,팽성읍 안정리,대옥,4,1094081,75000000,77.2,1989,2025
경기,평택시,팽성읍 안정리,맥심험프리스,8,2438748,198000000,82.8,2020,2026
경기,평택시,팽성읍 안정리,주공,25,1578813,68000000,39.7,1990,2026
경기,평택시,팽성읍 안정리,진광무지개,14,1444956,81500000,59.9,1997,2026
경기,평택시,팽성읍 안정리,평택브라운스톤험프리스,103,3378021,308000000,85.0,2016,2026
경기,평택시,팽성읍 평궁리,성두,11,1152305,69000000,59.8,1995,2026
경기,평택시,평택동,동우자인채센트럴,6,4249127,73000000,17.2,2018,2026
경기,평택시,평택동,라페온빌1차,6,3185294,70000000,19.7,2016,2026
경기,평택시,평택동,라페온빌II,19,3831418,70000000,18.3,2017,2026
경기,평택시,평택동,롯데인벤스스카이,23,4002789,430000000,121.9,2008,2026
경기,평택시,평택동,베스트빌,1,2844037,93000000,32.7,2015,2026
경기,평택시,평택동,성신,3,1511226,67000000,42.6,1988,2026
경기,평택시,평택동,성환,5,2177177,87000000,40.0,1986,2026
경기,평택시,평택동,세문,6,2084410,121000000,58.0,1994,2026
경기,평택시,평택동,어반스페이스(UrbanSpace),1,3970505,70000000,17.6,2018,2025
경기,평택시,평택동,퍼스트시티,5,3216499,65000000,18.5,2018,2026
경기,평택시,평택동,평택역코아루두드림,13,4016064,80000000,19.9,2019,2026
경기,평택시,포승읍 내기리,명지미래힐1단지,18,1737442,145000000,83.5,2004,2026
경기,평택시,포승읍 내기리,명지미래힐2단지,20,1803585,149000000,84.6,2004,2026
경기,평택시,포승읍 도곡리,모아미래도1차,54,2659588,167250000,60.0,2006,2026
경기,평택시,포승읍 도곡리,모아미래도2차,29,2701274,177000000,60.0,2005,2026
경기,평택시,포승읍 도곡리,서평택삼익마에스트로,23,2059202,47500000,22.6,2015,2026
경기,평택시,포승읍 도곡리,스마트빌듀오2차,34,2115954,50000000,23.6,2014,2026
경기,평택시,포승읍 도곡리,지예타워Ⅲ,11,1885945,42000000,22.3,2013,2026
경기,평택시,포승읍 도곡리,카임하우스,8,2459956,38250000,14.1,2013,2026
경기,평택시,포승읍 도곡리,평택스마트빌포레,50,2729365,68000000,24.1,2017,2026
경기,평택시,포승읍 도곡리,평택포승골든포트,30,2401747,44000000,18.3,2018,2026
경기,평택시,포승읍 도곡리,포승삼부르네상스1단지,34,2668259,153250000,60.0,2005,2026
경기,평택시,포승읍 도곡리,포승삼부르네상스2단지,40,2358885,191500000,85.0,2005,2026
경기,평택시,포승읍 만호리,SR친오애,42,2118007,129000000,55.2,2004,2026
경기,평택시,포승읍 만호리,더스위트하버,16,1765398,45000000,25.5,2017,2026
경기,평택시,포승읍 만호리,비에니스타,4,3703141,94000000,25.8,2022,2025
경기,평택시,포승읍 만호리,스마트빌듀오1차,42,1959930,45000000,23.3,2014,2026
경기,평택시,포승읍 만호리,스마트빌듀오3차,35,1851090,45000000,24.3,2014,2026
경기,평택시,포승읍 만호리,평택메트로하임,33,1851090,45000000,24.3,2015,2026
경기,평택시,포승읍 방림리,반도보라빌,15,1765537,150000000,85.0,2005,2026
경기,평택시,포승읍 석정리,한라파인빌(구한라공조사원아파트),34,1151382,57500000,49.9,1993,2026
경기,평택시,합정동,SKVIEW1단지,6,2518838,297500000,111.5,2007,2026
경기,평택시,합정동,SKVIEW2단지,2,3094796,282500000,91.6,2007,2025
경기,평택시,합정동,SK합정,13,3502043,210000000,60.0,2003,2026
